year,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20
1980,245438.47658373785,205739.35022330095,138752.56227305825,135007.06311771844,118987.235592233,92916.42685922328,74183.96686893204,70934.88907281552,69687.00988106795,57740.94013470873,53357.229269417476,50368.15216019418,44774.72449514563,40114.258722087376,39242.10844660194,39005.68777427184,37237.496945388346,34777.41884708738,34017.583904126215,33092.6888592233
1981,290089.9760132013,167372.36600660064,162361.88255775577,143988.60990759076,113847.5214851485,104303.27473597358,74483.65600660066,73724.2787788779,73499.55936963696,70197.39343234323,66781.039660066,55772.03861386139,52114.93413531353,51540.33869966998,38396.36264026402,37621.797867986796,37198.23412541254,36407.91930693069,35134.13432013201,35089.13418811881
1982,286409.225480829,170847.7576787565,166106.84367357512,152673.59166839378,117162.43697409326,101327.86367564766,79338.44745077721,77015.01544041451,74847.89185492229,73643.52219481865,72166.80497409328,60430.42663212435,57301.60883937824,45849.23495751296,42298.64934715026,40963.40449740933,39771.22159585492,38964.51116580311,36932.50164248705,36210.03880414508
1983,249426.00233433736,154075.95200000002,153871.63174698796,120605.4196987952,95145.47339759037,88206.7986746988,88201.66500000001,85555.2556927711,72967.4853313253,72058.82490963856,68021.18975903615,67924.16330722893,51495.89090361446,47165.636295180724,46747.7551746988,40962.61715662651,40294.21271084338,39834.748825301205,39121.16804216868,34850.20737650603
1984,217914.00522329164,183515.95872184794,134366.33107795956,109385.27114725696,98867.16323387872,98591.57532242541,87051.33153031762,67998.85654475457,67277.89888354187,65936.8684215592,65405.377449470645,61876.86794032723,48419.81179980751,47036.21284793071,41507.968556304135,37521.78626564004,36244.73156881617,36095.37276323388,35317.08297401347,34830.86715880654
1985,215868.59737918217,199321.93461245354,133167.35947026024,124422.27439405207,112465.3200557621,109146.05584572493,85333.83973048329,78853.31493959109,66401.91616171005,64030.67372676581,63671.89856877324,58653.798345724914,49185.4605669145,46504.626058550195,43418.922100371754,38804.265730483276,36915.825362453535,36526.162276951676,35114.82158921933,34371.13533457249
1986,224800.17980748176,202176.63468065698,130534.3587591241,123103.51077372265,116762.47072992702,107994.08876824818,97368.69460127738,81431.18651003651,68773.1325821168,65978.63362226277,63482.712180656934,52150.762308394165,49581.362805656936,47373.52201642336,42988.16471715329,36735.99813777373,36566.41543795621,35922.60766423358,33903.4771970803,32118.07694343066
1987,231382.41286003523,157283.06704225353,141142.01831514086,115338.21522887325,100971.01198943664,79242.4174911972,76712.85351232394,71145.11215669014,61096.621795774656,54801.96837147888,50666.67138644367,46542.62691021127,41141.422684859164,38254.02892605634,37882.69613556338,36775.449269366196,35263.56218661972,34745.49668133803,34531.924064260566,32825.36857922535
1988,219960.1079797126,165141.88767540152,154827.00296703298,117167.84081994928,110697.53601859679,84963.27096365174,74281.0008791209,72608.31687235841,65844.10377007608,56745.91298393914,56220.768005071855,48146.934091293326,45063.058021978024,43597.838698224856,37105.922992392225,36946.002299239226,36738.53761622992,35184.7135841082,34292.18322907862,33183.543829247676
1989,249646.99875000003,190600.5405,164026.64475,123047.30175000001,101879.3145,99372.2265,73136.45775,69159.342,67035.73950000001,53316.855,51947.852999999996,43606.0125,43441.0725,40032.99975,39865.998,37292.934,36340.40550000001,35119.849500000004,34971.4035,34959.033
1990,248369.30845524106,189605.95040703905,169504.30751338947,124088.5138944147,108099.68208110178,99712.09817903598,76421.29558530988,70723.29374139251,68870.90522570774,63407.63054322877,57592.2651185922,47364.02905891355,42452.36320581485,42424.9783703137,39661.06604437644,39254.20563121653,38662.49757842388,36277.082800306045,34729.839594491204,34680.93810252487
1991,234870.32145374452,198753.6082599119,184468.53875110135,129551.65070484583,110315.43237885465,109647.19528634363,83197.39508810574,77401.00143171806,74780.6110352423,73697.54136563877,57941.41171806168,53077.92209251102,51797.760022026436,45843.69244493393,45755.470132158596,41196.06592511014,40888.60177973569,37550.795044052866,36531.54577092511,35805.11949339208
1992,225554.16269208837,188129.29432644334,162109.4979301497,119162.03747683535,109763.04384889522,103702.35117605132,87665.02218816821,69300.7225017819,68426.05849607983,67048.46268709906,53518.50384889522,53416.45971489665,49939.670292230934,46656.035837491094,40455.03248039914,38743.971019244476,36027.410394868144,35804.73551674982,35541.78965003564,35177.892979330005
1993,234912.33639653982,183200.79847058823,178315.18435432526,115171.26693425605,110051.04992387544,101535.63718339101,88740.40241522492,68156.91772318339,66145.27752249135,65692.34885813149,65280.11300346021,53810.04842906575,52882.96006920416,45192.01903806229,39071.64353564014,38980.17317647059,37541.770816609,37437.38491349481,36405.910650519036,33757.33951557094
1994,230508.59708704453,187207.5121255061,168756.0460526316,108190.17821862349,104924.59993927127,97598.18105263158,87325.32386639678,75213.53036437248,59272.057105263164,56273.86637651823,55414.77605263159,52499.38921052632,43706.65149797571,43618.67236842106,43162.733467611346,37122.18993724697,35973.113502024295,35771.27902834008,35048.47010121458,34603.39921052632
1995,259936.73844094493,215461.4791535433,170201.4669488189,139927.58495275592,125973.14145669292,108514.98923228346,107449.75173228346,100016.57478346457,91524.87049212598,90211.35716535433,87607.81606299213,65172.57228149605,61977.86630511811,58660.196692913385,57561.408405511815,56647.149448818906,53094.121062992126,52111.08299212599,50822.73275590551,47763.571960629924
1996,275093.7755908222,223454.6463288719,179251.56732313577,152558.30426386232,129717.00518164436,117220.93422562143,114105.47097514341,108721.84619502869,86677.33661567878,86586.08873804972,67344.19254302104,66496.72787954111,61277.838107074575,59941.708470363286,57324.84969407266,56466.14198852773,54478.241797323135,52294.810439770554,51636.52217973231,51357.89026768642
1997,268191.36095327104,234138.80428037385,190243.8513271028,169079.274635514,126122.52712149532,120974.34379439254,118709.27056074767,115112.55089719626,97797.96155140187,86896.30106542056,70980.25904672897,68145.25388411214,63993.89392523364,63219.75497196262,61630.062224299065,61198.392149532716,60905.3025046729,56203.1251588785,52128.54194392524,51935.803644859814
1998,279456.6277177914,240955.93827607363,191945.07977300615,187114.26038650307,142477.8029447853,123135.70402453988,95905.88085276073,94072.36531288344,88011.88280981596,83537.10108588958,71834.91165644172,70873.4531226994,68944.26226380368,67278.57064417178,64783.17011042945,64770.62252760737,58987.75529447853,58147.06724539878,57053.85909202454,56093.969006134976
1999,247546.8724789916,221614.41363745497,213622.44691476593,154525.16764105644,154175.28891356543,125322.57034213687,117287.63605642258,88717.27575630252,86171.44764705883,82233.77740696279,77920.14099039616,73164.5524969988,72217.73155462185,68473.26189255703,63410.91569027611,60047.1693277311,57014.88702280913,55073.82736314527,55018.429897959184,52830.15329531813
2000,280685.2561324042,247653.2433972126,243306.1836062718,241341.98958188153,165731.65452961673,129978.27547038329,121748.8518292683,92628.89597560976,91678.71897212545,86099.39837979095,76299.21337979095,73473.92144599304,71638.89210801394,67331.32404878049,66270.68896864112,60976.12454703833,60360.14261149827,59552.3436933798,58510.41522299652,57196.201655052275
2001,303716.47399209486,279035.68500846985,266530.00126482215,260706.62273291926,187452.44732354602,161429.1342857143,145496.40526821004,127606.18956521741,95248.47271033315,93409.3591134952,91343.60435911914,86708.28743647657,83362.08232072277,74309.42818746471,74085.67417843027,73809.95149632976,71194.19495200453,70735.71576962169,70420.4391530209,69391.17071146246
2002,312376.18946081155,272256.94117287383,251905.27971095053,230804.69529738743,197133.00570316843,178935.7411951084,159195.15538632573,141682.86405225124,122024.70240133407,103661.16847137299,95484.12356864926,88679.86722623679,87052.70066147861,84560.08043913286,84047.06111172873,82705.53688715954,81678.07712618122,76104.49872707059,74808.44989994442,72196.45675931073
2003,342531.7495923913,259496.02332065217,253525.59870652173,227354.10277173916,182986.49775,140040.29007065218,127888.24592934783,115506.9441521739,94096.78195434783,93960.89470108696,86398.17159782609,81134.97205434783,80930.72434239132,78625.64302173913,75125.64311413043,73502.91588423913,71959.52569076089,71916.73093206523,71049.99812445651,69480.34751086957
2004,350098.5093541556,288543.2331551085,264785.9443959767,222628.65998941238,181608.5011064055,152848.78035468503,134619.85429327685,128184.44383800952,120629.77272101642,110031.30809952357,98880.65683959766,91695.46354685018,87721.88518793012,86426.68270513498,82156.71004764426,77318.58064796189,76912.96708046585,75877.75247326627,72800.39468290101,72768.04845579673
2005,377253.1242857143,354453.4419047619,253322.9680952381,225461.19857142857,199450.4223809524,193695.84904761903,159262.66047619047,141738.44,129085.1857142857,126052.12238095238,104599.45,97369.57999999999,95683.52666666667,93679.76747619048,90986.79471428573,85259.05685714286,84355.02857142857,82894.13142857143,76996.741,74525.39
2006,431088.9348511905,400293.42598214286,244248.81363095238,240288.41278273813,224727.06830357143,211377.3597767857,199291.98671130955,166183.3906994048,138106.77373511906,115570.6599107143,109942.65511904762,106498.38720238095,103560.1070982143,103367.34983630954,103178.39699404764,102103.7752589286,101326.91276785715,95252.39592410714,95002.82599553574,87689.33648809524
2007,432961.69286975136,428171.40703764796,255665.63114564345,247303.28403796625,212635.67105072777,207526.03282981738,197438.6896142605,180979.09487224006,144284.39567960182,139570.557137483,123268.78905865671,121500.63722255982,114943.43257516566,113016.22105506844,112727.69418641664,112267.77742570246,112003.91097317476,108567.48198628353,100978.36222617705,94557.89958619094
2008,449796.87205008755,442701.98449626804,250289.8214655625,216524.09385377818,212024.9258301092,209766.43610167995,204793.48395517017,189073.11302211304,141529.64812380692,141218.54175743024,140407.5278328681,138160.91239323188,130693.17217131206,123832.20810671474,117301.34927056289,114893.24350334182,111351.1431563889,111112.46995164955,104925.84674760686,104455.74365429186
2009,527731.6178887559,483349.1136680386,313598.30921006633,274994.2058852319,218322.02370220525,177533.59188857867,174313.70341246497,147800.26939875173,141050.6586183269,140972.00849270757,134784.86527731814,133910.18054694528,128445.18848496997,123492.61390809044,121196.26857371921,120943.63483688129,116013.70196283159,108550.7583764106,104237.51398733085,99507.90059989653
2010,478605.3426550978,333734.2932549437,191725.16343966685,183813.55616447152,176393.2001412481,163572.5976583997,144230.89860402833,138708.71865942693,135571.27629599735,134305.04395201232,131890.99543695198,127543.59772260337,126398.12642623913,125019.34009612209,122624.05057875041,120982.63828099203,116789.88505383936,115753.56767527608,115644.53100121071,112270.25629196169
2011,479457.3186197147,403108.8020218815,223149.06889867922,210225.22844860164,174831.5677805983,172334.54223589506,154782.62348903483,154108.64253864382,152519.7296066934,146564.14751554866,143244.25146817582,141648.51916741874,131244.4354913999,126220.83380383126,123546.50467015503,121117.67281351835,118676.33878073611,113508.39378675997,112067.1201894736,111801.27846216086
2012,504341.1516938596,497686.76947132766,273503.349377597,264206.58947533474,167334.99713407145,164373.03985295785,159999.14203332842,153054.1316715594,151732.38607280678,141689.56926139185,141108.31298291768,139295.50604545415,128136.94442363478,124807.52627681909,123461.2832870197,123420.08312935007,120537.18561025115,119981.54024059862,119052.86641636978,114624.40622577246
2013,514878.49446035107,493724.1855878982,256690.79118893188,186072.53702185382,178293.8619187232,171758.5895937877,167092.26248620992,161185.82492906417,151760.98551234778,147333.9009516778,139851.5354249926,139627.65707834496,135131.43361650434,134693.55390909052,132084.93219349495,127134.36738110468,121396.9360268204,118725.76006730857,118032.1761698511,114690.46261327197
2014,514361.5468623277,440248.4901409165,237967.83713503653,196708.24272607465,184569.89165145988,174056.826908455,167849.42103862533,158659.26377483783,157918.4355864761,148768.23552818332,139042.43572587188,136892.30610046635,135742.18653690186,132278.86875253447,132242.15132045824,130184.89519971615,121273.35844991892,114777.61274584348,113560.53786496352,112981.69834752637
2015,523844.6090660164,412686.0150495534,219810.4190332339,209982.8922018252,197170.75701321004,168191.90333604763,161186.10959551425,159985.57865891478,155407.81289527757,150327.3989587245,148885.25173299806,142863.18145533866,141134.11488627398,140735.0165515554,137073.01966947518,128972.40211883537,125619.97610719907,121498.47681811854,120219.20485872321,116995.13750068563
