year,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20
1980,79106.5,66311.2,44720.9,43513.7,38350.4,29947.6,23910.0,22862.8,22460.6,18610.3,17197.4,16234.0,14431.2,12929.1,12648.0,12571.8,12001.9,11209.0,10964.1,10666.0
1981,103142.8,59510.0,57728.5,51195.8,40479.0,37085.5,26483.0,26213.0,26133.1,24959.0,23744.3,19830.0,18529.7,18325.4,13652.0,13376.6,13226.0,12945.0,12492.1,12476.1
1982,108107.7,64488.0,62698.5,57628.0,44224.0,38247.1,29947.0,29070.0,28252.0,27797.4,27240.0,22810.0,21629.0,17306.2,15966.0,15462.0,15012.0,14707.5,13940.5,13667.8
1983,97172.5,60025.6,59946.0,46986.0,37067.2,34364.0,34362.0,33331.0,28427.0,28073.0,26500.0,26462.2,20062.0,18375.0,18212.2,15958.4,15698.0,15519.0,15241.0,13577.1
1984,88561.1,74581.6,54607.0,44454.6,40180.0,40068.0,35378.0,27635.0,27342.0,26797.0,26581.0,25147.0,19678.0,19115.7,16869.0,15249.0,14730.0,14669.3,14353.0,14155.4
1985,90854.0,83889.9,56047.0,52366.4,47334.0,45937.0,35915.0,33187.5,27947.0,26949.0,26798.0,24686.0,20701.0,19572.7,18274.0,16331.8,15537.0,15373.0,14779.0,14466.0
1986,96371.7,86673.0,55960.0,52774.4,50056.0,46297.0,41741.9,34909.5,29483.0,28285.0,27215.0,22357.0,21255.5,20309.0,18429.0,15748.7,15676.0,15400.0,14534.4,13769.0
1987,102813.7,69888.0,62715.8,51250.0,44866.0,35211.0,34087.0,31613.0,27148.0,24351.0,22513.5,20681.0,18281.0,16998.0,16833.0,16341.0,15669.2,15439.0,15344.1,14585.8
1988,101782.0,76416.0,71643.0,54217.0,51223.0,39315.0,34372.0,33598.0,30468.0,26258.0,26015.0,22279.0,20852.0,20174.0,17170.0,17096.0,17000.0,16281.0,15868.0,15355.0
1989,121085.0,92446.0,79557.0,59681.0,49414.0,48198.0,35473.0,33544.0,32514.0,25860.0,25196.0,21150.0,21070.0,19417.0,19336.0,18088.0,17626.0,17034.0,16962.0,16956.0
